Chinese Sentence,Chinese NER Tagged
但是汽车和艺术一样都存在于情感的层面，如果你们认同的话 所以你得用同样的视角看汽车，就像你看艺术,[]
现在你们会看到一幅米开朗琪罗的照片,"[('米开朗琪罗', 'nr', 6, 7)]"
这和汽车截然不同,[]
汽车就是自己会移动，对吧？那电梯也会自己动。,[]
它们都没有情感，它们用作某种用途 当然汽车已经有100年左右的历史了 而且在很多方面让我们的生活更好。 它们也一直带来问题 因为汽车是我们必须要解决的东西,[]
我们得解决污染的问题，解决交通阻塞的问题 但那不是我这次想说的,[]
我这次想说的是车子。汽车可能是你们所使用的， 但是汽车在很多方面就是我们自己,[]
只要我们能解决汽车带来的问题 我相信我们能够用燃料电池或氢实现，就像宝马所用的。 还有许多其他的解决办法，我觉得我们能看到问题后面的东西 并尝试理解为什么汽车和人之间存在纽带 以及这意味着什么，我们可以从中学到什么,[]
这就是我将要说的。车子不是一套衣服 车子是种化身，是你的延伸 车子”说出“你的思想，你的灵感，你的感情—并且将其放大—— 甚至你的愤怒，不管怎样，它是种化身。,[]
它是个超级沃尔多，而你恰巧坐在里面。如果你感到性感， 这车子就很性感。如果你一开车就大发雷霆， 你就会选一辆”雪弗莱：就像摇滚“，对吧？,[]
你知道吗？汽车也是雕像。,[]
每一辆你看到的车子都是手工雕刻的。,[]
许多人认为，“嗯，那是电脑做的， 是由机器那类的东西完成的。”,[]
的确，它们能复制这个过程，但设计最初的车子是手工做的，,[]
是那些对自己的工作有很强信念的男人女人完成的。,[]
他们把相同的迫切感投入到汽车的塑造中， 就像在做一件能放进博物馆的伟大的雕塑。,[]
在急切的表达和急切的探索中的迫切感 然后你加入一点新东西 同时你又受到制造工艺的制约,[]
规章中写着，你该如何处理车子的表面 这就是设计的核心部分，这就是你如何显示自己是大师的地方。,[]
那种迫切感，探索，创新的动力， 同时还有对于工艺的责任感 这些在汽车和其他任何东西一样强烈,[]
我们仍用黏土工作，这并没有改变太多 自从米开朗基罗开始使用黏土塑造形象。 而且也有非常有趣的相同。,"[('米开朗基罗', 'nr', 13, 14)]"
就说一句——米开朗基罗说过他在“探寻土中的人物”，对吧？,"[('米开朗基罗', 'nr', 6, 7)]"
那就是，汽车,[]
那是100年前，你知道吗？,[]
从刚才那个到这个，汽车变了很多，不是吗？,[]
当然这不是销售，这里有个很有趣的汽车的概念 但我在这儿并不想谈论有关市场学的部分,[]
我想说的是这个,[]
为什么你要自己洗车？那是什么，感官上的刺激？ 你得去触碰它？这就是内在的雕塑性，那感官上的刺激,[]
我们就是这样制造汽车的。,[]
现在这小段话引自亨利.摩尔有关雕塑的话 我相信摩尔所谈论的那个“其中的压力” 至少是提到汽车的时候 和这个重要的概念完全一致,"[('亨利.摩尔', 'nr', 6, 7), ('摩尔', 'nr', 13, 14)]"
那是求生的愿望，生存的需要，表达的欲望 融入在汽车中，使我这样的人着迷。,[]
我们告诉其他人，“做这个，做那个，做那个“， 直到这东西诞生,[]
我们完全陷入其中。美丽是这种 沉浸其中的结果，这实在太美妙了,[]
这个雕塑，当然，是整个的核心， 正是它将手工变为汽车,[]
而且它不是完全不同，真的，当他们这样工作， 或当有人这样工作。,[]
这是相同的信奉，相同的美丽。,[]
现在我要谈重点了：汽车是种艺术。,[]
艺术，在柏拉图派眼中，是真理，美丽和爱。,"[('柏拉图', 'nr', 3, 4)]"
这也是汽车设计师和工程师分歧最大的地方,[]
我们关于爱没有分歧,[]
我们关于真理或美丽的问题没有分歧,[]
这都是我们所寻找的—— 当我们工作时，我们的确试图找出真理,[]
我们不要空虚的美丽,[]
我们在试着寻找真理中的美丽,[]
然而工程师总用”牛顿“的眼光看事情 而不是这种量子论的方法,"[('牛顿', 'nr', 5, 6)]"
我们在对付不理性 我们在应对的确存在的矛盾 工程师看东西更像······ 2加2等于4，如果你得到4.0，那更好，4.0000就更更好,[]
这样有时就会带来分歧 比如“我们为什么要像现在这么做”,[]
我们坦然接受这个现实 我们是宝马公司中的女人 宝马是个非常男性化的企业，——男人，男人，男人，都·是工程师,"[('宝马公司', 'nt', 7, 9)]"
而我们就是女性的一面。这很好。 这很酷，你走出去像个男人，我们则想更像女人,[]
因为我们对寻找功能外的形式有兴趣,[]
我们对寻找悦目外的美有兴趣 这是真的,[]
而且我认为将这一想法的灵魂深植在伟大汽车的内心 是非常适当的。你们都知道，当你看到一辆车的时候， 你能从从灵魂上知道它有多强,[]
嗯，这种爱的经历，设计的经历对于我来说 是可互相交换的。现在我想说说我自己的故事。,[]
在一个叫深蓝的项目中，我重新发现了爱和设计。,[]
首先，你们要和我一起，说， 你能将爱这个词从我们社会中的许多事物中拿出， 换上设计这个词，完全没问题， 就像这句话，它还是对的，是不是？,[]
你能明白它们，这话像是老生常谈,[]
”在设计和战争中，一切都是公平的。“,[]
的确我们生活在一个高度竞争的社会,[]
我认为这首流行歌曲 很好的为我描述了飞利浦.斯塔克，就像你知道的， 这就像是初恋，很酷，对吧？,"[('飞利浦.斯塔克', 'nr', 12, 13)]"
牙刷，酷。,[]
只有当你这样看东西的时候才会变的严肃，是吧？,[]
这是我相信的一个代入法 我们所有在做设计管理的人，都很内疚。,[]
这个理念：有很多需要去爱， 很多需要设计，当它应用于你的邻居身上，其他人身上， 它会像这么现实，在未来它可能会这样,[]
但现在这只与我们的团队有关， 我们在创新的团队。开始我的故事。,[]
与人合作就是我们在这里工作的理念 当我们创造宝马时，我得和我的设计师产生纽带,[]
我们得亲密无间，分享想法 这意味着我们得像一家人一样 我们得这样看这个团队,[]
我们有好日子，有趣的日子 当然也有紧张的日子,[]
你想做汽车，你就得到外面去,[]
你得在雨中做，在雪中做。,[]
那个，顺便说一下，是我们要向董事会做的展示,[]
我们把他们搬到了室外。你想知道室外的车子吗?,[]
那你就得站在外面。,[]
因为这些人是艺术家，他们有艺术家的性情,[]
好，现在另一件有关艺术的事情是:艺术是探索 艺术就是在你的艺术作品中探索你自己，不是吗？,[]
对于车子，我们都有点像皮革玛丽翁 我们彻底的爱上自己的作品,"[('玛丽', 'nr', 8, 9)]"
这是我最喜爱的画作之一，它充满描绘了我们和车子的关系,[]
这是难以置信的病态,[]
但因为这个，我们作为团队工作的亲密度 达到出新的高度，新的意义,[]
我们有共同的中心，共同的重点 车子在我们关系的中心,[]
我的工作就是，在竞争的过程中，缩小范围。,[]
我今天听到约瑟夫的死亡基因 会进入细胞并阻止细胞再生,"[('约瑟夫', 'nr', 3, 4)]"
你知道，这也是我有时必须要做的,[]
我们开始做10辆车，减少到5辆， 到3辆，到2辆，再到1辆 基本上，我就是在那杀戮的核心。,[]
别人的爱人，别人的孩子,[]
这很困难，你得和你的团队有这样的纽带 他们才会同意你这样做，因为他们的生命也在其中,[]
他们体内也有这样的基因 他们想要那个活下去，胜过其他一切,[]
而这个深蓝计划，让我和我的团队紧紧地联系在一起 以一种我从未想过的方式，现在我要将这个告诉你们， 因为我希望你们能仔细想想这个，比如你自己的人际关系,[]
我们想制作一辆车子，展示宝马理念的全面飞跃。,[]
我们组成了一个团队，沿袭我们之前的合作方式 我只有一个电话号码可以联系他们,[]
因此，我们所做的截然不同于单单拥有一群艺术家 我们决定要解放一个由有创新意识的设计师和工程师组成的团队 来探索美国SUV现象后会是什么引导潮流,"[('美国', 'ns', 31, 32)]"
这是我们1996年做的项目，我们起了这样的名字 深蓝，现在很多人从IBM那里知道它。 事实上我们是从他们那里”偷“来的，因为我们认为 如果任何一个人阅读我们的传真文件，会认为我们在谈论电脑。,[]
其实这个名字很聪明，因为深蓝这个名字 在像宝马这样的一家公司，很有吸引力——深蓝，哇，多酷的名字,[]
因此人们参与其中。我组织了一个设计师团队， 将他们派到美国。我们给他们一个预算方案， 在我们看来是一系列目标 和时间表，没有别的了。,"[('美国', 'ns', 16, 17)]"
正如我所提过的，我仅有一个电话号码能联系倒他们,[]
我们还有一组工程师在德国工作 我想让他们分开工作 在什么会是SUV的”继承者“的问题上,"[('德国', 'ns', 6, 7)]"
他们会聚在一起，分享想法。然后分开工作， 再聚在一起，然后一起生产 形成一个巨大的多元观念的合集，并不抹灭其他人的观点 但同时聚在一起解决问题,[]
希望能从心底了解客户 客户在哪里，和他们住在美国。因此，将这个团队派出 事实上我没有预料到的事情发生了。他们去了其他地方,"[('美国', 'ns', 14, 15)]"
他们消失了，坦白的说，我收到的只是明信片,[]
现在，我收到一些在拉斯维加斯的家伙寄来的明信片 有一些在大峡谷的家伙寄来的 还有这些尼亚拉加大瀑布的卡片 不一会儿他们就在纽约，我不知道他们还去了什么地方,"[('拉斯维加斯', 'ns', 6, 7), ('尼亚拉加', 'ns', 23, 24), ('纽约', 'ns', 33, 34)]"
而我告诉自己，”会有一辆特别棒的车的， 他们正在做我从来没有想过的研究。“,[]
他们决定这样而不是租个工作室 6，7间公寓 在马里布租伊丽莎白泰勒住过的房子要便宜得多,"[('马里布', 'ns', 15, 16), ('伊丽莎白泰勒', 'nr', 17, 18)]"
至少他们告诉我那是她的房子 我猜它曾经是，泰勒在那开过派对什么的,"[('泰勒', 'nr', 15, 16)]"
不管怎样说，这就是他们一起住的房子,[]
这是24小时的居住，12个人，其中有人离开了他们的—— 一些离开了妻子，离开了家庭 他们确实住在这个房子里 整整六个月在美国的进行项目的时候 不过头三个月是最辛苦的,"[('美国', 'ns', 39, 40)]"
另外这项目中的一个女子 她非常古怪，竟然把房间建在浴室,[]
这个浴室非常大，她把床放在浴缸上 这太有趣了,[]
但是，我一点都不知道这些,[]
一点都不。这些事在发生，而我收到的都是明信片 那些在拉斯维加斯的家伙，或无论谁 说，”不要担心克里斯，这个项目一定会很棒。“,"[('拉斯维加斯', 'ns', 18, 19), ('克里斯', 'ns', 30, 31)]"
我对一个设计室的观念恐怕—— 我不想继续说这些家伙们在哪里,[]
然而，在慕尼黑工程师们呢 已经开始解决这类”牛顿“问题 他们想知道多少杯子固定座 能够在大头针定摇晃，而你知道的， 这些严肃问题是正是现代消费者所面对的。,"[('慕尼黑', 'ns', 3, 4), ('牛顿', 'nr', 12, 13)]"
有人希望这两支队伍能够走到一起 这种非凡创造力的结合 在这中难以置信的情况下 和这些惊人的迫切的工程师 会创造出难以置信的解决方案,[]
而我不知道的是，我们发现的是什么—— 这些家伙，他们在这种情况下甚至不愿彼此说话。,[]
想想你有”牛顿化”和“量子”思想的分歧 在你们的对话中有如此深，远的分歧 他们无法达成一致,"[('牛顿', 'nr', 4, 5)]"
因此我们三个月后在蒂伯龙召开了第一次 就在这上面的一条路——你知道蒂伯龙吗？,"[('蒂伯龙', 'nr', 7, 8), ('蒂伯龙', 'nr', 23, 24)]"
观念是这头三个月的独立研究 他们会全部展示给戈恰耳博士 他现在是我的老板，那个时候他是我们这个项目的共同辅导者 因此他们会展示研究结果给他看,"[('戈恰耳', 'nr', 15, 16)]"
我们会看看进展到哪儿了 看看第一个迹象可能在哪儿 这能沿袭美国SUV现象的,"[('美国', 'ns', 17, 18)]"
因此在脑海中我有这些点子，那将会很棒。,[]
我指，我能看到这么多工作，那真令人激动。 我知道拉斯维加斯可能指很多东西 而我实在不知道大峡谷又指什么 但不知怎么的这些聚在了一起 我会看到一些很棒的产品,"[('拉斯维加斯', 'ns', 18, 19)]"
因此我们在三个月后去了蒂伯龙 这个团队上星期前就聚到一起了 提前了好多天,"[('蒂伯龙', 'nr', 9, 10)]"
工程师们飞到其他地方，设计师们就跟着他们 他们把展示的东西放在一起,[]
哦，看上去工程师什么都没有干,[]
而他们什么都没做是因为 就像在汽车业种一样，工程师总是在那里解决问题 而我们要求他们创造问题,[]
工程师们在等待设计师说， “这是我们创造的问题，现在帮我们解决一下。”,[]
但设计师们没机会这么说。因此事情就成了这样 工程师出场什么都没有,[]
工程师告诉设计师 “如果你们展示你们所有的东西，我们就离开， 我们会立即从这项目中退出。”,[]
但我对这些毫无了解 而我们的展示有个日程，像这样,[]
一堆的对话,[]
我们听了4个小时的词汇介绍 那些工程师和设计师用来沟通的词汇,[]
在这儿我期待在任何时候，“哦好的，他们要翻页了， 我就要看到汽车了，我就要看到草图了 我可能能看到进展的程度了,[]
会话一直在进行，描述着词汇，而很快 越来越明显的是不是被他们的才华弄得惊异不已， 而是我对他们的胡说八道感到很困惑,[]
你可以想象到这是怎样的 这几个月的明信片暗示这团队工作的有多棒 他们在外花了所有的钱，而且他们在学习， 他们一直在做这个东西,[]
我被骗了，不是吗？我快疯了,[]
你也许可以想起蒂伯龙，它过去是这样的,"[('蒂伯龙', 'nr', 4, 5)]"
听了四个小时的胡说八道后，我站了起来，把这个团队拆开,[]
我对他们叫嚣着，责骂道，”你们究竟在做什么？“,[]
你们让我太失望了，你们可是我的设计师啊 你们应该是创新的 究竟这儿发生了什么？”,[]
这可能是我一个较好的长篇大论，我还有些好的 但这可能是比较好的。我走向那些人； 他们怎么可以拿宝马的钱， 他们怎么可以度3个月的假而什么都不做，什么都没有？,[]
当然因为他们不告诉我们他们有三个旅行车 有很多手绘，模型概念，图画——我想要的一切。 他们锁住了车子，因为他们想显示和工程师们的团结—— 而他们决定不给我看任何东西 为了提供一个解决问题的机会 当然，他们没有意识到 他们不能创造问题,[]
因此我们去吃饭了—— 大笑 我得告诉你，这是一次严肃安静的午餐。,[]
工程师们都坐在桌子的一端 设计师门和我坐在桌子的另一端，非常安静,[]
我非常生气，暴怒，你们知道吗？,[]
可能因为他们玩的很爽而我没有。,[]
这就是你暴怒的原因，对吧？,[]
而有人问我关于我妻子凯瑟琳的事 她和我一起飞去其他地方或其他吗？,"[('凯瑟琳', 'nr', 8, 9)]"
我说，“不，”而这引发了对我妻子的一连串的思考,[]
我回忆起当我和凯瑟琳结婚的时候 牧师讲了一次很好的布道，他说了一些十分重要的事情。,"[('凯瑟琳', 'nr', 6, 7)]"
他说，“爱情不是自私的，” “爱情不是计算我说过多少次我爱你“ 不是指你这个月做爱多少次 不是不及上个月做爱次数的一半， 就意味着你不那么爱我了,[]
爱情不是自私的”当我想到这些的时候，我想， “是啊，我没有展现我的爱刚才。我很严肃地不是在展现我的爱。,[]
我在空气中，我在没有信任的空气中。,[]
这不可能。我期待大量的草图这不可能 是我用定量的方法来判定一个团队,[]
这不可能。”,[]
于是我告诉他们这个故事，我说“嗨，我正在想， 这是不对的。我和你们的关系 不能建立在一个可量化的前提上。,[]
建立在一个命令的前提，”我是老板，你做我吩咐的，没有信任。“ 我说“不能这样。”,[]
事实上，我们都哭了，坦白说 因为他们仍然不能告诉我他们积累了多少挫折， 不能给我看我想要的， 并且只能要求我去信任他们。,[]
那一天我们亲近了很多 我们减去了许多不需要的羁绊， 我们形成了真正的团队和创造力的概念,[]
我们把车子放回我们思想的中心，然后加入爱， 我想，真正回到了那个过程的中心。,[]
另外，这个团队继续创造6个不同的概念 为下次提案的模型 就是美国SUV后的下一代,"[('美国', 'ns', 18, 19)]"
其中一个就是交叉跑车的概念 看看楼下，这交叉跑车——他们很享受制造过程,[]
"这是我们摩托车的衍生， 这个GS,正如卡尔.马格努森所说，“暴力美学，” 理念就是摩托车会变成什么样子，如果你再加两个轮子。","[('卡尔.马格努森', 'nr', 11, 12)]"
最后，我想告诉你们的经验是 这个。我也想从《小王子》中”偷“一点引言,[]
关于信任和爱情有很多要说的， 果你知道这两个词是设计的同义词。,[]
我和我的团队那天形成了非常有意思的纽带 从那时开始一直到现在,[]
我希望你们也能够发现更多的东西需要设计， 更多设计的艺术，而不是自己做。,[]
的确信任和爱让一切更有价值,[]
非常感谢,[]
休息的时候，有几个人过来问我 对老龄化问题怎么看,[]
我的唯一看法是,[]
我认为 乐观主义者比悲观主义者活得久得多,[]
在这18分钟里我将告诉你们的是 我们是如何做到 从最初的阅读遗传编码 发展到我们自己开始编写遗传编码,[]
仅仅十年之前的这个月 我们发表了第一个 来自自由活动生命体的基因序列 即流感嗜血杆菌的序列,[]
由此我们将基因组项目完成的时间 从13年降到4个月,[]
现在，同样的基因组项目 只需要 2到8个小时,[]
因此过去十年，我们完成了大量的基因组测序 大部分的人类病原体 几种植物 多种昆虫和哺乳动物 包括人类基因组,[]
约在十年前 我们对基因组学发展的设想是 到今年年底的时候 我们或许能完成3到5个基因组的测序 而事实上已经完成了数百个,[]
我们刚刚从戈登-贝蒂·摩尔基金会获得一笔资助 作为环境有机体项目的副项目,"[('戈登-贝蒂·摩尔基金会', 'nt', 3, 5)]"
我们将在今年完成130个基因组的测序 阅读遗传编码的速率已然改变,[]
但我们看到，未来的路还很长 我们仅仅探索了这个星球 表面上浅浅的一层,[]
大多数人没有意识到这些肉眼看不到的生物 微生物构成了地球约一半的生物量 而所有的动物加起来 也才占地球生物量的千分之一,[]
跑到海边喝上一口海水 或许不是牛津人 经常做的事 但请记住每一毫升的海水里 有大约一百万个的细菌 其中的病毒更是以千万计,"[('牛津', 'ns', 11, 12)]"
两年前只有不到五千种的微生物 被鉴定归类 于是我们决定做些这方面的事情,[]
我们启动了巫师二号考察 和其他大型的海洋考察活动一样 我们尝试每200英里采一次样,[]
考察伊始，我们在百慕大进行了测试项目 然后前往哈利法克斯 接着到美国东海岸 加勒比海、巴拿马运河 穿过加拉帕哥斯群岛，然后横跨太平洋 现在我们正在 穿越印度洋的过程中,"[('百慕大', 'ns', 5, 6), ('哈利法克斯', 'ns', 12, 13), ('美国', 'ns', 15, 16), ('加勒比海', 'ns', 18, 19), ('巴拿马运河', 'ns', 20, 22), ('加拉帕哥斯群岛', 'ns', 23, 25), ('太平洋', 'ns', 28, 29), ('印度洋', 'ns', 33, 34)]"
工作很艰难，我们乘着一艘帆船 某种程度上我们想通过它 激起年轻人投身科学的兴趣,[]
实验其实非常简单,[]
采集海水，过滤 用不同的过滤器采集不同大小的生物 然后把它们的DNA带回罗克韦尔的实验室 在那里我们可以每24小时 测完一亿字符的遗传编码,"[('罗克韦尔', 'ns', 20, 21)]"
通过这些 我们已经有了一些惊人的发现,[]
比如我们眼睛里的视色素 之前认为自然界中只有一到两种生物 拥有和我们一样的视色素,[]
但后来发现 在温暖海区的 上层海水中 几乎每个物种都拥有这类光受体 并利用阳光作为能量来源 和交流工具,[]
仅仅一个采集点，从一桶水中 我们就能发现1300万个新基因 相当于5万个新种,[]
借助来自斯隆基金会的资助 我们已经将研究扩展到空气中,"[('斯隆基金会', 'nt', 2, 4)]"
我们正在测算，在我们每天呼吸的空气中 特别是在飞机 和礼堂等封闭环境中,[]
我们通过一些简单的仪器进行过滤 在纽约市某栋建筑的顶上 仅用一天我们就过滤出数十亿计的微生物 目前,"[('纽约市', 'ns', 9, 10)]"
我们正在对它们进行测序 单纯从数据搜集方面 仅仅在加拉帕戈斯群岛 我们就发现几乎每200英里 我们都能从采集的样品中 看到巨大的多样性 不同的温度梯度,"[('加拉帕戈斯群岛', 'ns', 14, 16)]"
或许可以部分解释这种多样性 这是一张基于温度的卫星图片 红色表示温暖区域 蓝色表示冷的区域 我们发现，在温暖海水中获得样品 与冷海水中的样品 在物种的丰富程度上具有极大的差异,[]
另一个让我们感到惊奇的事情是 这些光受体能探测到不同波长的光 而我们能通过它们的氨基酸序列来推测这一过程,[]
不同区域之间，它们也差别巨大,[]
或许不是很让人惊奇 在几乎是幽蓝的深海里 光受体倾向于“看”到蓝光,[]
而当周围存在大量叶绿素的时候 它们则“看”到许多绿光,[]
在向较极端的 红外和紫外波段移动时 光受体的差别可能更大 为了对我们采集的所有基因 进行评估 我们汇总了所有数据 包括到目前为止考察所得的所有数据 代表了地球上超过一半的基因数据 总共约2900万个基因,[]
我们把这些基因放入基因家族中 试图回答： 我们是发现了已知基因家族中的新成员 还是发现了新的基因家族？,[]
结果表明我们找到了大约5万个 主要的基因家族 但我们从环境中获得的每个新样品 都只是对这些新基因家族的线性补充,[]
因此我们正处在发现地球生命 及其组成部分 和基因基础的最初阶段,[]
我们来看下所谓的进化树 我们人类就在右上角，和动物们在一起,[]
在动物界约2900万个基因中 我们的基因组 才仅仅拥有24000个基因,[]
如果把所有的动物算在一起 我们与之分享着不到30000 可能在1.2万或再多数千 的不同的基因家族,[]
现在我不仅仅将这些基因视为 进化的设计组件,[]
而且我们要从“基因中心观点”—— 或许要追溯到理查德·道金斯的理论—— 而非“基因组中心观点”来思考 它们对这些基因组件的构造方式是不同的,"[('理查德·道金斯', 'nr', 15, 16)]"
合成DNA，即人工合成DNA的能力 在过去的十年或二十年里 与DNA测序的能力 在某种程度上是同步发展的 而且都变得越来越快速和廉价,[]
有关合成基因组的想法 是在1995年我们对第二个基因组 即生殖道支原体测序的时候想到的,[]
我们还制作了相当不错的T恤 写着，“我爱惜我的生殖器”,[]
这其实只不过是个微小的生物,[]
却拥有近500个基因,[]
嗜血杆菌拥有1800个基因,[]
我们提出疑问 如果某物种需要800个基因，另一种需要500个 是否能用一套更小的基因 组成一个微小的可运作生命系统,[]
于是我们开始做转座子的突变发生 转座子是随机插入遗传编码之中,[]
的短的DNA片段 如果转座子插入到基因中间，就会扰乱基因的功能,[]
因此我们找出 所有能够接受转座子插入的基因 并为这些“非必需基因”制作了“地图”,[]
但结果我们发现环境对此的影响非常关键 我们只能根据 环境中确实存在的条件 来定义必需和非必需基因 我们还试图做一个更直观的研究 对13个有亲缘关系的生物 我们试图比较它们的基因组，看它们是否有相同之处,[]
于是我们得到了这些重叠的圆圈，我们发现只有173个基因 在这所有13种生物中是相同的,[]
如果忽略掉一个细胞内寄生物的话 这个基因库还能扩展一点 当我们审视核心的一组 约310个基因时,[]
基因库扩大更多 因此我们认为可以从最少500个基因 扩展或缩小 ——取决你怎么看这个问题—— 到约300到400个基因 证明这些理论的唯一方法 是以这些基因人工构建一个染色体 而且我们必须用基于表达框的方式来达到这一目的,[]
我们发现大片段精确合成DNA 是非常非常困难的,[]
我的同事汉姆·史密斯和克莱德·哈钦森 发明了一个让人振奋的新方法 能让我们在短短两周时间内 合成一个拥有5000个碱基对的病毒 而且在基因序列和生物学特性上,"[('汉姆·史密斯', 'nr', 3, 4), ('克莱德·哈钦森', 'nr', 5, 6)]"
都百分百精确 那是个相当让人兴奋的实验：我们仅仅把合成的DNA片段 注进细菌中，突然之间 DNA就开始引导病毒颗粒的合成 而病毒反过来杀死了细菌,[]
这并非第一个合成的病毒 一年前已有某种脊髓灰质炎病毒被制造了出来 但这却是唯一达到百分之一活性的病毒 耗时三年才合成成功,[]
这是Phi X-174结构的一个动画,[]
这是软件为自己构建硬件的活例子 也为我们的生物学提供了新想法,[]
有人立即开始担心生物武器的威胁 不久前我也在参议院委员会 和另一个由美国政府成立 旨在评价这一领域的特殊委员会上作证,"[('美国政府', 'nt', 17, 19)]"
我认为最重要的是将事实牢记在心 而非人们对事情发生的想象,[]
基本上，任何现在已经被测序的病毒 其基因组都可以被合成,[]
人们立马被埃博拉病毒或天花病毒之类等吓坏了 但从这些生物体中提取的DNA并不具有感染力,[]
因此即使有人制成了天花病毒基因组 其DNA本身并不会引发感染,[]
安全部门真正需要担心的是 “设计者病毒”,[]
只有两个国家，美国和前苏联 曾经花大力气 致力于生物武器的研制,"[('美国', 'ns', 5, 6), ('苏联', 'ns', 8, 9)]"
如果这些研究真的已经终止 那么在未来 人为制造出设计者病毒的几率微乎其微,[]
我想两年内制造出单细胞生物是可能的,[]
而真核细胞 我们自己拥有的这种细胞 也可能在十年内制造出来,[]
我们可以区分开进入这个人工基因组的 不同表达框和不同基因 使得我们能构建数十种不同的结构,[]
关键是，如何把所有其他的放进来？,[]
我们从这些片段开始 然后通过一个同源重组系统 将其组合到染色体中,[]
这来自一种名为耐辐射奇异球菌的生物 能在三百万拉德的辐射剂量下保持活力,"[('拉德', 'nr', 14, 15)]"
在暴露辐射约12到24小时 其染色体几乎完全破碎的情况下 它还能将自身的染色体重新组装起来,[]
这种生物在地球上几乎无处不在 甚至由于人类的活动 它们还可能在外太空活动,[]
这是玻璃烧杯 在约50万拉德辐射下的情形,"[('拉德', 'nr', 8, 9)]"
玻璃开始燃烧，爆裂 而位于底部的微生物 则似乎越来越开心,[]
这是实际的情形 上面是经过170万拉德辐射 之后的染色体,[]
几乎已经支离破碎,[]
下面是24小时之后 同样的DNA自动重组的结果 这些生物能做到的真是叹为观止。 如果不是数以万计的话 也许我们还能找到数以千计 的物种也同样能够做到,[]
这些基因组合成之后 第一步就是将它们 移植到另一个没有基因组的细胞中,[]
因此我们认为合成细胞将具有巨大的前景 不仅仅在生物学基础的理解上 而且很可能帮我们应对环境和社会问题,[]
例如，从我们测序的第三种生物 詹氏甲烷球菌，生活在相当于水沸点的高温中 以氢作为能量来源 并依靠捕获环境中的二氧化碳为自己提供所需的碳,[]
由此可知，通过大量不同的途径 数以千计的生物 能够捕获,[]
并依赖二氧化碳生存 因此我们可以通过 捕获大气中的碳 制造生物高聚物 或其他产品 来替代从石油中 工业合成的碳制品,[]
有种依赖一氧化碳的生物 我们利用其还原能力 使水分子破裂，制造出氢和氧,[]
同样，还有许多途径 能够用来转化甲烷,[]
杜邦公司和挪威石油公司有一大型项目 就是把挪威油气田中的甲烷 转化为有用的产品,"[('杜邦公司', 'nt', 0, 2), ('挪威石油公司', 'nt', 3, 6), ('挪威', 'ns', 12, 13)]"
我突然想到，将有一个新的领域 “组合基因组学”很快就要诞生 因为有了这些新的合成方法 有了这么庞大的基因序列 和同源重组 我们可以设计出一个 能够每天生产近百万个染色体的机器人,[]
因此，所有的生物学特征 都能通过屏幕来选择 无论是制造氢 化学合成，或者仅仅是生存能力,[]
理解这些基因的功能 将变得触手可及,[]
我们正尝试改进光合作用 以直接在阳光下制造出氢,[]
光合作用受氧调节 而我们使用的对氧不敏感的氢化酶 将完全改变这一过程,[]
我们还整合了多种纤维素酶 这些酶可以把复杂的糖类分解为简单的糖类 并在同一个细胞内发酵 产生酒精,[]
在一些大型的实验室里 已经开始利用微生物 进行药品生产,[]
环境中化合物的化学 比我们最好的化学家制造出来的化合物,[]
还要复杂很多 也许未来的工程物种将成为 我们的食物来源 能量来源 环境补救手段 甚至 取代石化行业,[]
最后让我以道德和政策上的研究结束吧,[]
我们推迟了1999年开始的实验 直到对是否应该尝试制造人工物种这一问题进行了一年半的生物伦理学讨论后,[]
实验才继续进行 每个主要宗教都参与其中,[]
真是一项奇怪的研究 因为许多宗教领袖都以他们的教义、经文作为法律 而且不能从中找出禁止制造生命的条文 所以这应该没什么问题 最根本的担忧来自生物武器方面 但只有开始进行这些实验之后 我们才能找出从事这一切的原因,[]
目前斯隆基金会已经资助了 一个相关的多机构参与的研究 以确定这些实验给社会带来的风险和益处 同时也为像我们这样的科学团队 在这一领域开展研究制定规则 在前进的同时我们也努力成为一个良好的榜样,"[('斯隆基金会', 'nt', 1, 3)]"
有许多复杂的议题,[]
除了生物恐怖主义 它们其实都很简单： 我们能否设计出生产清洁能源的工具 通过各种不同的简单步骤 或能彻底改变 发展中国家的能源生产模式,[]
非常感谢,[]
语音信箱 我的老朋友♪,[]
我又打了技术支持电话♪,[]
我没听老板的警告 在周一早上打的♪,[]
现在已是晚上 我的食物先变凉 -- 继而发霉♪,[]
我仍被搁置 我正聆听着寂静之声♪,[]
我觉得你不明白 我认为你们的电话线无人值守♪,[]
我敲打了每个提示的按键♪ 但我还是被晾了18小时♪,[]
你们的软件不但宕了我的Mac♪ 还一直挂起和破坏 -- 擦除了我的ROM! 现在那Mac♪,[]
发出了寂静之声♪,[]
我在梦中幻想♪ 对你们实施报复♪,[]
咒你摩托出了车祸♪,[]
血流成河 你颤抖着♪,[]
拨了911 祈祷叫到专业医师 但却叫到了我♪,[]
于是你只听到寂静之声♪,[]
"谢谢 晚上好 欢迎来到 -- “见证曾是百老汇伴奏的TED演讲者""",[]
当我在六年前得到纽约时报专栏的工作时 有人这样对我说: 你会拿到最酷 最热门 最华丽的新玩意儿,"[('纽约', 'ns', 7, 8)]"
每周都会被送到你家,[]
你要试用它们 把玩它们 评估它们 玩厌了再把它们送回去 你还可以拿到工资 好好想想吧,[]
