Original English Sentence,Tagged English Sentence,Original Chinese Sentence,Tagged Chinese Sentence
"The stagnationist view is that ideas get used up, like low-hanging fruit, but the reality is that each innovation creates building blocks for even more innovations.","The stagnationist view is that ideas get used up , like low-hanging fruit , but the reality is that each innovation creates building blocks for even more innovations .",停?的????所有的?新都用完了， 比如那些?而易?的， 但事?是每??新 都?更多的?新奠定了基石。,停 ? 的 ? ? ? ? 所 有 的 ? 新 都 用 完 了 ， 比 如 那 些 ? 而 易 ? 的 ， 但 事 ? 是 每 ? ? 新 都 ? 更 多 的 ? 新 奠 定 了 基 石 。
A solar panel pays for itself in seven or eight years.,A solar panel pays for itself in seven or eight years .,使用一?太?能?池板七八年，你就可以?回本金。,使 用 <MISC>一 <\MISC> ? 太 ? 能 ? 池 板 <MISC>七 <\MISC> <MISC>八 <\MISC> <MISC>年 <\MISC> ， 你 就 可 以 ? 回 本 金 。
"And I asked them to name me just 20 good leaders, just 20 good leaders -- you may want to take this leadership challenge yourself.","And I asked them to name me just 20 good leaders , just 20 good leaders -- you may want to take this leadership challenge yourself .",然后我?他??出20位好的??人， 只是20位好??人——也? 你可能自己也想??回答????。,然 后 我 ? 他 ? ? 出 2 0 位 好 的 ? ? 人 ， 只 是 2 0 位 好 ? ? 人 — — 也 ? 你 可 能 自 己 也 想 ? ? 回 答 ? ? ? ? 。
And today is a time for me to talk to you about water.,And today is a time for me to talk to you about water .,今天我要和大家?一下水。,<MISC>今 <\MISC> <MISC>天 <\MISC> 我 要 和 大 家 ? 一 下 水 。
Perhaps you've been at home for a week on your own.,Perhaps you 've been at home for a week on your own .,你已??自在家一周了,你 已 ? ? 自 在 家 一 周 了
"Green School is not only different in the way that it is built out of bamboo, but also in the way that it teaches.","<ORGANIZATION>Green <\ORGANIZATION> <ORGANIZATION>School <\ORGANIZATION> is not only different in the way that it is built out of bamboo , but also in the way that it teaches .",格林?校的不同之?， 除了它是由竹子建造而成， ?有它的教?方式。,格 林 ? 校 的 不 同 之 ? ， 除 了 它 是 由 竹 子 建 造 而 成 ， ? 有 它 的 教 ? 方 式 。
SW: That's nice. Can you be polite?,SW : That 's nice . Can you be polite ?,斯蒂芬尼.怀特：非常好。你能再?貌些?？,斯 蒂 芬 尼 . 怀 特 ： 非 常 好 。 你 能 再 ? 貌 些 ? ？
That is the rocket designer's dream.,That is the rocket designer 's dream .,那是一?火箭???的?想。,那 是 一 ? 火 箭 ? ? ? 的 ? 想 。
We can begin to sculpt the form.,We can begin to sculpt the form .,我?就能?始?行造型了,我 ? 就 能 ? 始 ? 行 造 型 了
So back to the matter at hand.,So back to the matter at hand .,?在回到我???的??上?。,? 在 回 到 我 ? ? ? 的 ? ? 上 ? 。
"You simply take the proton, and you hit it really sharply with an electron.","You simply take the proton , and you hit it really sharply with an electron .",你只要??子 猛烈的撞向?子即可,你 只 要 ? ? 子 猛 烈 的 撞 向 ? 子 即 可
So we thought this was the perfect project to build a collaborative memorial and a virtual resurrection for Johnny Cash.,So we thought this was the perfect project to build a collaborative memorial and a virtual resurrection for <PERSON>Johnny <\PERSON> <PERSON>Cash <\PERSON> .,我????是一??得的机? 去集合?于?翰·卡什的回? 和??再??翰·卡什。,我 ? ? ? ? 是 <MISC>一 <\MISC> ? ? 得 的 机 ? 去 集 合 ? 于 ? 翰 · 卡 什 的 回 ? 和 ? ? 再 ? ? 翰 · 卡 什 。
The tree can easily recover.,The tree can easily recover .,?本身可以?易的恢复。,? 本 身 可 以 ? 易 的 恢 复 。
He doesn't stand quite as upright.,He does n't stand quite as upright .,??完全直立。,? ? 完 全 直 立 。
"I looked into the face of her son sitting next to her, and his face was just riven with grief and confusion.","I looked into the face of her son sitting next to her , and his face was just riven with grief and confusion .",看?坐在她旁? 她儿子的? 他的? 溢?了悲?和困惑,看 ? 坐 在 她 旁 ? 她 儿 子 的 ? 他 的 ? 溢 ? 了 悲 ? 和 困 惑
We need to see what they can do for us.,We need to see what they can do for us .,我?要看到他可以?我?做什么,我 ? 要 看 到 他 可 以 ? 我 ? 做 什 么
The highest concentrations are in red.,The highest concentrations are in red .,?色表示的是密度最高的地?,? 色 表 示 的 是 密 度 最 高 的 地 ?
Normally we think about technology as interactive.,Normally we think about technology as interactive .,一般我?都??科技 是人机交互式的。,一 般 我 ? 都 ? ? 科 技 是 人 机 交 互 式 的 。
"All I have to do is sit, and they do everything.","All I have to do is sit , and they do everything .",我只需要坐下?，他?就?做事情。,我 只 需 要 坐 下 ? ， 他 ? 就 ? 做 事 情 。
